,genre_index
Avant-Garde,0
International,1
Blues,2
Jazz,3
Classical,4
Novelty,5
Comedy,6
Old-Time / Historic,7
Country,8
Pop,9
Disco,10
Rock,11
Easy Listening,12
Soul-RnB,13
Electronic,14
Sound Effects,15
Folk,16
Soundtrack,17
Funk,18
Spoken,19
Hip-Hop,20
Audio Collage,21
Punk,22
Post-Rock,23
Lo-Fi,24
Field Recordings,25
Metal,26
Noise,27
Psych-Folk,28
Krautrock,29
Jazz: Vocal,30
Experimental,31
Electroacoustic,32
Ambient Electronic,33
Radio Art,34
Loud-Rock,35
Latin America,36
Drone,37
Free-Folk,38
Noise-Rock,39
Psych-Rock,40
Bluegrass,41
Electro-Punk,42
Radio,43
Indie-Rock,44
Industrial,45
No Wave,46
Free-Jazz,47
Experimental Pop,48
French,49
Reggae - Dub,50
Afrobeat,51
Nerdcore,52
Garage,53
Indian,54
New Wave,55
Post-Punk,56
Sludge,57
African,58
Freak-Folk,59
Jazz: Out,60
Progressive,61
Alternative Hip-Hop,62
Death-Metal,63
Middle East,64
Singer-Songwriter,65
Ambient,66
Hardcore,67
Power-Pop,68
Space-Rock,69
Polka,70
Balkan,71
Unclassifiable,72
Europe,73
Americana,74
Spoken Weird,75
Interview,76
Black-Metal,77
Rockabilly,78
Easy Listening: Vocal,79
Brazilian,80
Asia-Far East,81
N. Indian Traditional,82
South Indian Traditional,83
Pacific,85
Celtic,86
Big Band/Swing,88
British Folk,89
Techno,90
House,91
Glitch,92
Minimal Electronic,93
Breakcore - Hard,94
Sound Poetry,95
20th Century Classical,96
Poetry,97
Talk Radio,98
North African,99
Sound Collage,100
Flamenco,101
IDM,102
Chiptune,103
Musique Concrete,104
Improv,105
New Age,106
Trip-Hop,107
Dance,108
Chip Music,109
Lounge,110
Goth,111
Composed Music,112
Drum & Bass,113
Shoegaze,114
Kid-Friendly,115
Thrash,116
Synth Pop,117
Banter,118
Deep Funk,119
Spoken Word,120
Chill-out,121
Bigbeat,122
Surf,123
Radio Theater,124
Grindcore,125
Rock Opera,126
Opera,127
Chamber Music,128
Choral Music,129
Symphony,130
Minimalism,131
Musical Theater,132
Dubstep,133
Skweee,134
Western Swing,135
Downtempo,136
Cumbia,137
Latin,138
Sound Art,139
Romany (Gypsy),140
Compilation,141
Rap,142
Breakbeat,143
Gospel,144
Abstract Hip-Hop,145
Reggae - Dancehall,146
Spanish,147
Country & Western,148
Contemporary Classical,149
Wonky,150
Jungle,151
Klezmer,152
Holiday,153
Salsa,154
Nu-Jazz,155
Hip-Hop Beats,156
Modern Jazz,157
Turkish,158
Tango,159
Fado,160
Christmas,161
Instrumental,162
